Actual Profit ($),Actual Sales (Qty),Actual Cost of Goods Sold  (COGS) ($),Actual Total Expenses ($),Inventory (Qty),Budget Profit ($),Budget Sales (Qty),Budget COGS ($),Date,Market,Province,City,Store#,Market Size,Product Type,Product,Type
28,82,33,21,870,50,90,30,31/12/2019,Central,Quebec,Gatieau,580,Small Market,Coffee,Decaf Irish Cream,Decaf
29,127,54,44,424,30,110,50,31/12/2019,Prairie,Alberta,Edmonton,450,Major Market,Herbal Tea,Mint,Decaf
29,99,43,27,531,30,90,40,31/12/2019,Prairie,Alberta,Edmonton,450,Major Market,Coffee,Colombian,Regular
29,99,43,27,531,30,90,40,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Herbal Tea,Mint,Decaf
29,82,33,20,870,30,70,30,31/12/2019,West,British Columbia,Kelowna,670,Major Market,Herbal Tea,Lemon,Decaf
29,127,54,44,424,40,120,50,31/12/2019,West,British Columbia,Vancounver,510,Major Market,Coffee,Amaretto,Regular
29,82,33,20,870,40,80,30,31/12/2019,Atlantic,Newfoundland,Mount Pearl,2050,Major Market,Tea,Darjeeling,Regular
29,99,43,27,531,30,90,40,31/12/2019,Central,Quebec,Montreal,773,Major Market,Herbal Tea,Lemon,Decaf
30,99,43,26,531,40,110,50,31/12/2019,Prairie,Alberta,Red Deer,965,Major Market,Coffee,Decaf Irish Cream,Decaf
30,107,41,36,320,30,90,30,31/12/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Herbal Tea,Chamomile,Decaf
30,85,34,21,863,30,70,30,31/12/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Herbal Tea,Lemon,Decaf
30,107,41,36,320,20,70,30,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Darjeeling,Regular
30,85,34,21,863,40,80,30,31/12/2019,Prairie,Saskatchewan,Prince Albert,863,Major Market,Tea,Green Tea,Regular
31,322,135,156,940,40,310,130,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Espresso,Caffe Mocha,Regular
31,43,0,12,344,30,40,0,31/12/2019,Central,Ontario,Waterloo,702,Small Market,Espresso,Caffe Latte,Regular
31,85,34,20,863,50,100,40,31/12/2019,North,Yukon,Whitehorse,225,Small Market,Coffee,Decaf Irish Cream,Decaf
31,107,41,35,320,20,80,30,31/12/2019,North,Yukon,Whitehorse,985,Small Market,Espresso,Caffe Mocha,Regular
32,43,0,11,344,30,40,0,31/12/2019,North,Northwest Territories,Hay River,4500,Small Market,Tea,Green Tea,Regular
32,43,0,11,344,40,50,0,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Decaf Espresso,Decaf
32,322,135,155,940,30,290,120,31/12/2019,Central,Ontario,Waterloo,702,Small Market,Herbal Tea,Chamomile,Decaf
36,139,63,40,1075,40,100,40,31/12/2019,Prairie,Manitoba,Brandon,1200,Small Market,Herbal Tea,Mint,Decaf
36,127,52,39,327,40,110,40,31/12/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Herbal Tea,Chamomile,Decaf
36,139,63,40,1075,50,160,70,31/12/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Coffee,Amaretto,Regular
36,139,63,40,1075,40,130,60,31/12/2019,North,Nunavut,Kugluktuk,816,Small Market,Coffee,Decaf Irish Cream,Decaf
37,127,52,38,327,50,110,40,31/12/2019,North,Northwest Territories,Hay River,4500,Small Market,Coffee,Amaretto,Regular
46,120,49,25,845,50,110,40,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Herbal Tea,Lemon,Decaf
46,120,49,25,845,70,140,50,31/12/2019,North,Yukon,Whitehorse,318,Small Market,Coffee,Colombian,Regular
47,168,67,54,677,80,210,80,31/12/2019,Prairie,Alberta,Edmonton,450,Major Market,Espresso,Decaf Espresso,Decaf
47,168,67,54,-1239,30,120,50,31/12/2019,Prairie,Alberta,Red Deer,965,Major Market,Espresso,Caffe Latte,Regular
47,168,67,54,677,50,120,40,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Tea,Green Tea,Regular
47,123,50,26,898,50,120,50,31/12/2019,Prairie,Manitoba,Brandon,1200,Small Market,Tea,Darjeeling,Regular
47,123,50,26,898,50,110,40,31/12/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Espresso,Decaf Espresso,Decaf
47,168,67,54,677,40,130,50,31/12/2019,Central,Quebec,Montreal,630,Major Market,Tea,Earl Grey,Regular
48,123,50,25,898,70,150,60,31/12/2019,North,Nunavut,Iqaluit,314,Small Market,Espresso,Caffe Mocha,Regular
50,176,80,46,1079,80,220,100,31/12/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Espresso,Caffe Mocha,Regular
50,176,80,46,1079,30,120,60,31/12/2019,Prairie,Saskatchewan,Prince Albert,561,Major Market,Herbal Tea,Mint,Decaf
51,176,80,45,1079,60,170,70,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Decaf Espresso,Decaf
52,133,54,27,601,40,100,40,31/12/2019,Prairie,Alberta,Red Deer,965,Major Market,Espresso,Decaf Espresso,Decaf
52,133,54,27,601,60,130,50,31/12/2019,Atlantic,PEI,Cornwall,518,Major Market,Tea,Green Tea,Regular
53,133,54,26,601,90,170,60,31/12/2019,Prairie,Alberta,Edmonton,450,Major Market,Espresso,Caffe Mocha,Regular
53,133,54,26,601,50,90,30,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Tea,Earl Grey,Regular
53,133,54,26,601,50,110,40,31/12/2019,Central,Quebec,Montreal,309,Major Market,Tea,Darjeeling,Regular
57,195,83,55,575,70,190,80,31/12/2019,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Coffee,Decaf Irish Cream,Decaf
58,176,72,46,461,80,200,80,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Colombian,Regular
58,195,83,54,575,70,190,80,31/12/2019,Prairie,Saskatchewan,Regina,407,Major Market,Espresso,Decaf Espresso,Decaf
66,185,81,38,551,60,150,60,31/12/2019,Prairie,Alberta,Edmonton,450,Major Market,Tea,Green Tea,Regular
66,185,81,38,551,70,170,70,31/12/2019,Central,Ontario,Ottawa,541,Small Market,Herbal Tea,Lemon,Decaf
66,185,81,38,551,100,220,90,31/12/2019,Central,Quebec,Gatieau,405,Small Market,Coffee,Colombian,Regular
72,221,88,61,817,70,180,70,31/12/2019,West,British Columbia,Kelowna,670,Major Market,Tea,Darjeeling,Regular
72,221,88,61,817,60,170,60,31/12/2019,Central,Quebec,Gatieau,405,Small Market,Espresso,Decaf Espresso,Decaf
73,221,88,60,817,60,160,60,31/12/2019,Central,Ontario,Ottawa,971,Small Market,Tea,Earl Grey,Regular
73,221,88,60,817,80,190,70,31/12/2019,Prairie,Saskatchewan,Regina,754,Major Market,Coffee,Colombian,Regular
77,214,94,43,540,70,200,90,31/12/2019,Atlantic,New Brunswick,Miramichi,598,Small Market,Espresso,Caffe Mocha,Regular
77,214,94,43,540,70,190,80,31/12/2019,North,Yukon,Whitehorse,225,Small Market,Herbal Tea,Chamomile,Decaf
87,306,153,66,1319,80,280,140,31/12/2019,Prairie,Alberta,Edmonton,450,Major Market,Herbal Tea,Chamomile,Decaf
87,306,153,66,1319,140,390,190,31/12/2019,West,British Columbia,Kelowna,670,Major Market,Espresso,Caffe Mocha,Regular
87,306,153,66,1319,80,290,150,31/12/2019,Atlantic,Newfoundland,Conception Bay South,2300,Major Market,Espresso,Regular Espresso,Regular
87,306,153,66,1319,80,290,150,31/12/2019,Central,Ontario,Ottawa,971,Small Market,Espresso,Decaf Espresso,Decaf
88,210,86,36,1003,90,200,80,31/12/2019,Prairie,Alberta,Edmonton,450,Major Market,Coffee,Decaf Irish Cream,Decaf
88,210,86,36,1003,80,190,80,31/12/2019,Central,Quebec,Montreal,630,Major Market,Herbal Tea,Mint,Decaf
89,210,86,35,1003,80,190,80,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Herbal Tea,Chamomile,Decaf
89,210,86,35,1003,90,210,90,31/12/2019,Atlantic,PEI,Cornwall,716,Major Market,Tea,Darjeeling,Regular
105,289,115,69,1166,110,260,100,31/12/2019,Prairie,Manitoba,Brandon,1200,Small Market,Coffee,Colombian,Regular
105,289,115,69,1166,110,260,100,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Herbal Tea,Chamomile,Decaf
121,320,134,65,690,90,260,110,31/12/2019,West,British Columbia,Kelowna,670,Major Market,Tea,Earl Grey,Regular
121,320,134,65,690,100,230,90,31/12/2019,Central,Ontario,Kitchener,503,Large Market,Tea,Green Tea,Regular
121,320,134,65,-2248,90,240,100,31/12/2019,Central,Quebec,Gatieau,918,Small Market,Espresso,Caffe Latte,Regular
122,312,127,63,830,120,290,120,31/12/2019,Central,Ontario,Waterloo,775,Small Market,Herbal Tea,Mint,Decaf
122,312,127,63,830,130,300,120,31/12/2019,Central,Quebec,Montreal,630,Major Market,Coffee,Decaf Irish Cream,Decaf
122,320,134,64,690,110,280,120,31/12/2019,Prairie,Saskatchewan,Regina,813,Major Market,Coffee,Decaf Irish Cream,Decaf
123,312,127,62,830,120,290,120,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Herbal Tea,Lemon,Decaf
133,302,123,46,959,110,230,90,31/12/2019,Prairie,Alberta,Red Deer,965,Major Market,Espresso,Caffe Mocha,Regular
133,302,123,46,959,150,310,120,31/12/2019,Atlantic,PEI,Cornwall,718,Major Market,Tea,Earl Grey,Regular
133,302,123,46,959,130,280,110,31/12/2019,Central,Quebec,Montreal,309,Major Market,Herbal Tea,Chamomile,Decaf
134,302,123,45,959,130,290,120,31/12/2019,Prairie,Alberta,Edmonton,450,Major Market,Coffee,Amaretto,Regular
134,302,123,45,959,110,220,90,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Tea,Darjeeling,Regular
156,501,250,95,1820,120,410,210,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Darjeeling,Regular
157,501,250,94,1820,160,480,240,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Espresso,Caffe Latte,Regular
157,501,250,94,1820,100,360,180,31/12/2019,Central,Ontario,Waterloo,702,Small Market,Tea,Earl Grey,Regular
157,501,250,94,1820,240,640,320,31/12/2019,Central,Quebec,Montreal,630,Major Market,Espresso,Decaf Espresso,Decaf
188,525,241,96,1321,240,620,280,31/12/2019,Prairie,Alberta,Red Deer,965,Major Market,Coffee,Colombian,Regular
188,525,241,96,1321,170,480,220,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Herbal Tea,Lemon,Decaf
194,534,224,116,1191,170,490,210,31/12/2019,Central,Ontario,Waterloo,775,Small Market,Herbal Tea,Lemon,Decaf
194,534,224,116,1191,190,520,220,31/12/2019,Central,Quebec,Montreal,847,Major Market,Coffee,Colombian,Regular
215,576,247,114,1744,150,420,180,31/12/2019,Central,Ontario,Waterloo,702,Small Market,Tea,Darjeeling,Regular
216,576,247,113,1744,210,550,240,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Espresso,Decaf Espresso,Decaf
216,654,294,144,1838,170,540,240,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Earl Grey,Regular
216,576,247,113,1744,200,530,230,31/12/2019,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Herbal Tea,Chamomile,Decaf
216,576,247,113,1744,320,730,310,31/12/2019,Central,Quebec,Montreal,815,Major Market,Espresso,Caffe Mocha,Regular
271,699,279,149,2642,350,830,330,31/12/2019,West,British Columbia,Kelowna,620,Major Market,Coffee,Colombian,Regular
271,699,279,149,2642,250,620,250,31/12/2019,Atlantic,PEI,Cornwall,845,Major Market,Coffee,Colombian,Regular
309,747,294,144,1727,210,540,220,31/12/2019,Atlantic,PEI,Cornwall,607,Major Market,Herbal Tea,Lemon,Decaf
312,657,250,95,723,320,640,240,31/12/2019,Atlantic,PEI,Cornwall,718,Major Market,Espresso,Regular Espresso,Regular
390,510,67,53,-3534,360,450,60,31/12/2019,Atlantic,Newfoundland,Conception Bay South,2300,Major Market,Coffee,Colombian,Regular
-552,19,245,132,1419,-240,0,160,31/01/2018,Central,Ontario,Waterloo,775,Small Market,Tea,Green Tea,Regular
-268,68,105,134,725,-170,50,100,31/01/2018,Atlantic,PEI,Cornwall,516,Major Market,Espresso,Caffe Mocha,Regular
-182,132,144,96,862,-120,140,180,31/01/2018,West,British Columbia,Kelowna,620,Major Market,Coffee,Decaf Irish Cream,Decaf
-176,201,207,90,965,-70,140,150,31/01/2018,Atlantic,PEI,Cornwall,516,Major Market,Herbal Tea,Mint,Decaf
-62,111,88,54,525,-30,80,70,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Herbal Tea,Mint,Decaf
-61,111,88,52,525,-30,120,110,31/01/2018,Atlantic,New Brunswick,Bathurst,580,Small Market,Coffee,Decaf Irish Cream,Decaf
-61,111,88,52,525,-20,80,70,31/01/2018,North,Nunavut,Iqaluit,314,Small Market,Herbal Tea,Lemon,Decaf
-36,141,63,90,435,-10,120,60,31/01/2018,Atlantic,Newfoundland,Conception Bay South,2300,Major Market,Espresso,Caffe Mocha,Regular
-17,101,37,67,261,0,70,30,31/01/2018,North,Nunavut,Pangnirtung,573,Small Market,Herbal Tea,Chamomile,Decaf
-16,101,37,66,261,-10,70,30,31/01/2018,Atlantic,New Brunswick,Bathurst,580,Small Market,Espresso,Caffe Mocha,Regular
-16,101,37,66,261,0,60,20,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Tea,Darjeeling,Regular
-16,101,37,66,261,0,80,30,31/01/2018,North,Northwest Territories,Hay River,4500,Small Market,Espresso,Caffe Mocha,Regular
-14,73,29,47,169,10,40,10,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Tea,Green Tea,Regular
-14,73,29,47,169,-10,50,20,31/01/2018,North,Nunavut,Rankin Inlet,660,Small Market,Tea,Earl Grey,Regular
-12,73,29,46,169,0,50,20,31/01/2018,Atlantic,New Brunswick,Bathurst,580,Small Market,Espresso,Caffe Latte,Regular
-12,73,29,46,169,0,60,20,31/01/2018,North,Northwest Territories,Hay River,4500,Small Market,Espresso,Regular Espresso,Regular
-6,85,34,48,197,0,50,20,31/01/2018,North,Northwest Territories,Hay River,4500,Small Market,Herbal Tea,Lemon,Decaf
-6,85,34,48,197,0,60,20,31/01/2018,North,Nunavut,Kugluktuk,816,Small Market,Tea,Green Tea,Regular
-5,85,34,47,197,10,90,40,31/01/2018,Central,Ontario,Waterloo,775,Small Market,Coffee,Colombian,Regular
-3,162,95,55,608,30,180,110,31/01/2018,West,British Columbia,Kelowna,620,Major Market,Coffee,Amaretto,Regular
0,168,63,91,435,20,130,50,31/01/2018,Prairie,Alberta,Edmonton,450,Major Market,Herbal Tea,Lemon,Decaf
0,168,63,91,435,20,150,60,31/01/2018,West,British Columbia,Vancounver,510,Major Market,Coffee,Decaf Irish Cream,Decaf
2,168,63,90,435,40,180,70,31/01/2018,Central,Ontario,Kitchener,503,Large Market,Coffee,Amaretto,Regular
6,69,28,32,965,20,60,20,31/01/2018,Atlantic,New Brunswick,Bathurst,580,Small Market,Herbal Tea,Lemon,Decaf
6,69,28,32,965,20,70,30,31/01/2018,Central,Ontario,Waterloo,702,Small Market,Coffee,Decaf Irish Cream,Decaf
8,69,28,30,965,20,60,20,31/01/2018,Atlantic,Nova Scotia,Amherst,6000,Small Market,Coffee,Colombian,Regular
11,201,75,103,522,20,170,70,31/01/2018,Prairie,Manitoba,Brandon,1200,Small Market,Espresso,Caffe Mocha,Regular
11,201,75,103,522,10,150,60,31/01/2018,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Tea,Earl Grey,Regular
12,201,75,102,522,20,120,40,31/01/2018,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Green Tea,Regular
12,201,75,102,522,10,150,60,31/01/2018,North,Yukon,Whitehorse,504,Small Market,Espresso,Caffe Latte,Regular
14,92,35,40,196,10,70,30,31/01/2018,Atlantic,New Brunswick,Bathurst,580,Small Market,Espresso,Decaf Espresso,Decaf
14,92,35,40,196,10,50,20,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Tea,Earl Grey,Regular
14,213,79,107,551,20,190,80,31/01/2018,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Coffee,Colombian,Regular
14,213,79,107,551,60,230,90,31/01/2018,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Decaf Irish Cream,Decaf
14,92,35,40,196,10,70,30,31/01/2018,North,Nunavut,Pangnirtung,573,Small Market,Tea,Darjeeling,Regular
14,213,79,107,551,30,180,70,31/01/2018,Prairie,Saskatchewan,Regina,239,Major Market,Espresso,Caffe Mocha,Regular
16,50,18,18,821,20,40,10,31/01/2018,North,Northwest Territories,Hay River,4500,Small Market,Tea,Darjeeling,Regular
16,48,17,17,777,30,50,10,31/01/2018,Atlantic,Nova Scotia,Amherst,6000,Small Market,Espresso,Decaf Espresso,Decaf
16,50,18,18,821,20,40,10,31/01/2018,Central,Ontario,Waterloo,775,Small Market,Espresso,Caffe Mocha,Regular
16,213,79,106,551,30,180,70,31/01/2018,Central,Quebec,Gatieau,405,Small Market,Herbal Tea,Lemon,Decaf
17,50,18,17,821,20,40,10,31/01/2018,Atlantic,New Brunswick,Bathurst,580,Small Market,Herbal Tea,Chamomile,Decaf
17,48,17,16,777,20,40,10,31/01/2018,North,Northwest Territories,Hay River,4500,Small Market,Tea,Green Tea,Regular
17,48,17,16,777,30,50,10,31/01/2018,Atlantic,Nova Scotia,Amherst,6000,Small Market,Espresso,Caffe Mocha,Regular
17,50,18,17,821,20,40,10,31/01/2018,Atlantic,Nova Scotia,Amherst,6000,Small Market,Coffee,Amaretto,Regular
17,48,17,16,777,20,40,10,31/01/2018,Central,Ontario,Waterloo,702,Small Market,Espresso,Decaf Espresso,Decaf
17,48,17,16,777,20,40,10,31/01/2018,Central,Ontario,Waterloo,702,Small Market,Espresso,Caffe Latte,Regular
19,60,23,20,623,20,50,20,31/01/2018,Atlantic,Nova Scotia,Amherst,6000,Small Market,Coffee,Decaf Irish Cream,Decaf
20,134,54,56,312,30,120,50,31/01/2018,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Coffee,Amaretto,Regular
20,134,54,56,312,20,110,50,31/01/2018,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Caffe Mocha,Regular
20,134,54,56,312,20,110,50,31/01/2018,Central,Quebec,Gatieau,918,Small Market,Herbal Tea,Chamomile,Decaf
20,134,54,56,312,20,90,40,31/01/2018,Prairie,Saskatchewan,Regina,904,Major Market,Herbal Tea,Lemon,Decaf
25,145,58,59,338,40,150,60,31/01/2018,West,British Columbia,Vancounver,510,Major Market,Espresso,Decaf Espresso,Decaf
25,280,105,135,725,30,220,90,31/01/2018,Central,Ontario,Waterloo,775,Small Market,Herbal Tea,Chamomile,Decaf
25,145,58,59,338,20,120,50,31/01/2018,Central,Ontario,Kitchener,503,Large Market,Espresso,Caffe Latte,Regular
26,145,58,58,338,20,110,40,31/01/2018,Prairie,Alberta,Edmonton,450,Major Market,Tea,Darjeeling,Regular
26,280,105,134,725,20,240,100,31/01/2018,West,British Columbia,Kelowna,620,Major Market,Espresso,Caffe Mocha,Regular
26,145,58,58,338,30,100,40,31/01/2018,Atlantic,Newfoundland,Conception Bay South,2300,Major Market,Herbal Tea,Lemon,Decaf
31,104,38,37,241,30,80,30,31/01/2018,North,Northwest Territories,Hay River,4500,Small Market,Coffee,Amaretto,Regular
33,104,38,36,241,30,80,30,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Herbal Tea,Chamomile,Decaf
39,134,48,49,372,30,100,40,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Herbal Tea,Lemon,Decaf
39,134,48,49,372,40,110,40,31/01/2018,North,Northwest Territories,Hay River,4500,Small Market,Coffee,Colombian,Regular
41,134,48,48,372,50,150,60,31/01/2018,Atlantic,New Brunswick,Bathurst,580,Small Market,Coffee,Colombian,Regular
44,91,33,21,777,50,70,20,31/01/2018,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Herbal Tea,Lemon,Decaf
44,90,32,21,456,30,50,20,31/01/2018,Central,Ontario,Ottawa,541,Small Market,Tea,Darjeeling,Regular
44,179,67,68,400,60,200,80,31/01/2018,Central,Ontario,Kitchener,503,Large Market,Coffee,Colombian,Regular
44,90,32,21,821,50,100,40,31/01/2018,Central,Quebec,Gatieau,918,Small Market,Coffee,Decaf Irish Cream,Decaf
44,90,32,21,456,40,60,20,31/01/2018,Central,Quebec,Gatieau,580,Small Market,Espresso,Caffe Mocha,Regular
44,90,32,21,821,40,80,30,31/01/2018,Prairie,Saskatchewan,Regina,239,Major Market,Tea,Darjeeling,Regular
44,91,33,21,777,40,80,30,31/01/2018,Prairie,Saskatchewan,Regina,239,Major Market,Tea,Green Tea,Regular
44,91,33,21,777,50,100,40,31/01/2018,North,Yukon,Whitehorse,318,Small Market,Coffee,Decaf Irish Cream,Decaf
45,90,32,20,456,50,70,20,31/01/2018,West,British Columbia,Vancounver,510,Major Market,Herbal Tea,Chamomile,Decaf
45,90,32,20,821,50,70,20,31/01/2018,West,British Columbia,Vancounver,510,Major Market,Herbal Tea,Lemon,Decaf
45,90,32,20,821,40,80,30,31/01/2018,Atlantic,Newfoundland,Conception Bay South,2300,Major Market,Tea,Darjeeling,Regular
45,90,32,20,456,40,80,30,31/01/2018,Atlantic,Newfoundland,Conception Bay South,2300,Major Market,Tea,Green Tea,Regular
45,112,44,28,623,30,80,30,31/01/2018,Central,Ontario,Kitchener,503,Large Market,Herbal Tea,Lemon,Decaf
45,112,44,28,623,50,120,50,31/01/2018,Central,Quebec,Gatieau,580,Small Market,Coffee,Colombian,Regular
47,112,44,27,623,30,80,30,31/01/2018,Prairie,Alberta,Edmonton,450,Major Market,Tea,Green Tea,Regular
47,145,55,47,312,40,120,50,31/01/2018,Prairie,Manitoba,Brandon,1200,Small Market,Espresso,Decaf Espresso,Decaf
47,145,55,47,312,70,160,60,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Coffee,Colombian,Regular
47,95,34,22,777,50,70,20,31/01/2018,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Herbal Tea,Lemon,Decaf
47,95,34,22,777,50,100,40,31/01/2018,North,Yukon,Whitehorse,337,Small Market,Coffee,Colombian,Regular
51,157,60,49,336,40,120,50,31/01/2018,Prairie,Alberta,Edmonton,450,Major Market,Herbal Tea,Mint,Decaf
51,157,60,49,336,50,130,50,31/01/2018,Prairie,Alberta,Red Deer,965,Major Market,Herbal Tea,Chamomile,Decaf
51,101,36,22,777,40,70,30,31/01/2018,Central,Ontario,Kitchener,503,Large Market,Herbal Tea,Chamomile,Decaf
51,157,60,49,336,50,130,50,31/01/2018,Central,Ontario,Kitchener,503,Large Market,Espresso,Caffe Mocha,Regular
53,157,60,48,336,50,140,60,31/01/2018,West,British Columbia,Vancounver,510,Major Market,Coffee,Amaretto,Regular
53,125,49,30,623,40,100,40,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Espresso,Caffe Mocha,Regular
53,123,48,29,623,50,120,50,31/01/2018,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Espresso,Decaf Espresso,Decaf
53,123,48,29,623,30,80,30,31/01/2018,Prairie,Saskatchewan,Regina,850,Major Market,Herbal Tea,Chamomile,Decaf
55,105,38,22,777,40,100,40,31/01/2018,Prairie,Manitoba,Brandon,1200,Small Market,Tea,Green Tea,Regular
55,123,48,28,623,40,100,40,31/01/2018,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Caffe Latte,Regular
55,125,49,29,623,40,100,40,31/01/2018,North,Yukon,Whitehorse,318,Small Market,Herbal Tea,Chamomile,Decaf
56,157,64,42,965,40,120,50,31/01/2018,Prairie,Alberta,Edmonton,450,Major Market,Tea,Earl Grey,Regular
59,168,69,45,965,50,170,80,31/01/2018,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Espresso,Caffe Mocha,Regular
59,145,53,41,338,70,160,60,31/01/2018,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Coffee,Colombian,Regular
61,213,85,69,494,70,230,100,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Coffee,Decaf Irish Cream,Decaf
61,168,69,44,965,60,140,60,31/01/2018,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Espresso,Decaf Espresso,Decaf
61,213,85,69,494,40,190,90,31/01/2018,North,Nunavut,Iqaluit,314,Small Market,Coffee,Colombian,Regular
61,168,69,44,965,40,110,50,31/01/2018,Prairie,Saskatchewan,Regina,321,Major Market,Herbal Tea,Mint,Decaf
62,213,85,68,494,40,140,60,31/01/2018,Prairie,Manitoba,Brandon,1200,Small Market,Herbal Tea,Lemon,Decaf
62,213,85,68,494,40,180,80,31/01/2018,North,Yukon,Whitehorse,318,Small Market,Herbal Tea,Lemon,Decaf
65,157,57,43,364,50,130,50,31/01/2018,Prairie,Alberta,Red Deer,965,Major Market,Herbal Tea,Lemon,Decaf
65,157,57,43,364,50,140,60,31/01/2018,West,British Columbia,Vancounver,510,Major Market,Coffee,Colombian,Regular
65,157,57,43,364,70,170,70,31/01/2018,Central,Ontario,Ottawa,971,Small Market,Coffee,Decaf Irish Cream,Decaf
69,128,46,25,777,40,100,40,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Espresso,Caffe Latte,Regular
70,128,46,24,777,60,130,50,31/01/2018,North,Nunavut,Pangnirtung,573,Small Market,Espresso,Decaf Espresso,Decaf
73,190,78,47,965,50,130,50,31/01/2018,Prairie,Manitoba,Brandon,1200,Small Market,Herbal Tea,Mint,Decaf
73,138,50,27,821,60,130,50,31/01/2018,Prairie,Manitoba,Brandon,1200,Small Market,Tea,Darjeeling,Regular
73,138,50,27,821,50,110,40,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Espresso,Decaf Espresso,Decaf
73,190,78,47,965,80,210,90,31/01/2018,Atlantic,New Brunswick,Miramichi,598,Small Market,Coffee,Amaretto,Regular
73,168,61,44,390,50,130,50,31/01/2018,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Tea,Darjeeling,Regular
73,190,78,47,965,50,170,80,31/01/2018,North,Nunavut,Iqaluit,314,Small Market,Coffee,Decaf Irish Cream,Decaf
75,168,61,43,390,40,100,40,31/01/2018,Atlantic,Nova Scotia,Cape Breton ,6200,Small Market,Tea,Earl Grey,Regular
75,138,50,26,821,70,140,50,31/01/2018,North,Nunavut,Pangnirtung,573,Small Market,Espresso,Caffe Mocha,Regular
75,168,61,43,390,50,120,50,31/01/2018,North,Yukon,Whitehorse,337,Small Market,Espresso,Decaf Espresso,Decaf
78,201,77,56,432,60,170,70,31/01/2018,Prairie,Saskatchewan,Regina,305,Major Market,Espresso,Decaf Espresso,Decaf
79,201,77,55,432,60,180,80,31/01/2018,Atlantic,Newfoundland,Corner Brook,2850,Small Market,Coffee,Decaf Irish Cream,Decaf
83,201,72,58,558,80,210,80,31/01/2018,Prairie,Alberta,Edmonton,450,Major Market,Espresso,Decaf Espresso,Decaf
83,201,72,58,558,50,150,60,31/01/2018,Prairie,Alberta,Red Deer,965,Major Market,Espresso,Caffe Latte,Regular
83,150,54,28,456,50,110,40,31/01/2018,Central,Quebec,Montreal,217,Major Market,Tea,Darjeeling,Regular
84,150,54,27,456,70,150,60,31/01/2018,Prairie,Alberta,Edmonton,450,Major Market,Espresso,Caffe Mocha,Regular
84,150,54,27,456,60,110,40,31/01/2018,Prairie,Alberta,Red Deer,965,Major Market,Espresso,Decaf Espresso,Decaf
